word,rating
food,3.8000000000000007
time,2.3
delic,1.2
menu,1.0
գլխավորմենյուծառայություններթափուր,0.9999999999999999
աշխատատեղերպատկերասրահմեր,0.9999999999999999
մասինկապamruenապրանքի,0.5
էջգլխավոր,0.9999999999999999
ապրանքի,2.2
էջսակուրահբաղադրությունըսաղմոն,0.5
պանիր,1.0999999999999999
վարունգգինը,0.9999999999999999
դրամ,1.5
ավելացնել,1.3
զամբյուղ,1.3
մեր,2.0
մասինfood,1.2
timeը,2.7000000000000006
հիմնադրվել,1.2999999999999998
թվականի,1.2999999999999998
մարտի,1.2999999999999998
գյումրիում,1.4
նմանատիպ,1.4
ոլորտում,1.4
առաջիններից,1.4
սակայան,1.4
քրտնաջան,1.4
աշխատանքի,1.4
շնորհիվ,1.4
քաղաքում,1.4
դարձավ,1.4
առաջատար,1.4
հասցրեց,1.4
սիրվել,1.4
միայն,1.4
գյումրեցիների,1.4
ամբողջ,1.4
հայաստանի,1.4
արտերկրից,1.4
ժամանած,1.4
հյուրերի,1.4
կողմիցծառայություններպահքի,1.0
ճաշացանկառաքումբազմազան,1.2999999999999998
խոհանոցհարցեր,1.0
ունեքgorku,1.2
mi,1.6
gyumri,1.6
foodtimelistru,1.6
copyright,1.2
all,1.2
right,1.2
reserv,1.2
brain,1.5
for,1.5
մասինկապamruen,0.4
էջ,1.2000000000000002
սակուրահբաղադրությունըսաղմոն,0.5
կողմից,0.4
ծառայություններպահքի,0.2
խոհանոց,0.7
հարցեր,0.6000000000000001
gorku,0.4
գլխավոր,0.8999999999999999
մենյու,0.4
ծառայություններ,0.8
թափուր,0.4
աշխատատեղեր,0.4
պատկերասրահ,0.4
մասին,0.8
կապ,0.4
ru,0.4
en,0.4
պահքի,0.5
ճաշացանկ,0.4
առաքում,0.4
բազմազան,0.4
մասինկապ,0.1
amruen,0.1
սակուրահ,0.5
սաղմոն,0.1
վարունգ,0.1
գինը,0.4
բաղադրությունը,0.3
ունեք,0.4
